t,x,y,z,px,py
0,0.5,0,0.866025,-0.317196642081823,0.556747036971734
0.1,0.499721,0.023608,0.865865,-0.298770415572554,0.549227929539105
0.2,0.498885,0.0471808,0.865383,-0.280018041971964,0.54165641065952
0.3,0.497495,0.0706837,0.864583,-0.260968247922637,0.534045791642395
0.4,0.495553,0.0940821,0.863467,-0.241649048372829,0.526408006531899
0.5,0.493066,0.117342,0.862042,-0.222091166430942,0.518757196655104
0.6,0.490039,0.14043,0.860315,-0.20232359261254,0.511108086031548
0.7,0.48648,0.163313,0.858293,-0.182376988709902,0.503474144006096
0.8,0.482398,0.18596,0.855986,-0.16228102758664,0.495870385381652
0.9,0.477802,0.20834,0.853404,-0.142065382106366,0.488311824961117
1,0.472705,0.230425,0.850561,-0.121759943674467,0.480814444038176
1.1,0.467118,0.252185,0.847469,-0.101394880930672,0.473393899259443
1.2,0.461055,0.273594,0.844142,-0.0809991736527449,0.466065151020091
1.3,0.454528,0.294626,0.840595,-0.0606005328318837,0.458844798751152
1.4,0.447554,0.315259,0.836844,-0.0402267493838931,0.451747106596358
1.5,0.440146,0.33547,0.832905,-0.0199038496618945,0.444788201916991
1.6,0.432321,0.355239,0.828797,0.000341921439213953,0.437984312539711
1.7,0.424095,0.374546,0.824535,0.0204849534178184,0.431348588694789
1.8,0.415484,0.393375,0.82014,0.0405027278141185,0.424898107978351
1.9,0.406506,0.411709,0.815628,0.0603706843712922,0.418645162045693
2,0.397177,0.429536,0.811018,0.0800693966713523,0.412603827655564
2.1,0.387513,0.446841,0.806329,0.099577119264952,0.406789133156642
2.2,0.377533,0.463615,0.80158,0.118874841585612,0.401213044202069
2.3,0.367251,0.479848,0.796789,0.13794595202282,0.395888910142361
2.4,0.356686,0.495532,0.791974,0.15677221302055,0.390827513408617
2.5,0.345853,0.510659,0.787155,0.175337924595913,0.386042914503647
2.6,0.334769,0.525226,0.782347,0.193629983031717,0.381542484809582
2.7,0.323448,0.539227,0.77757,0.211634868759266,0.377340036941176
2.8,0.311906,0.55266,0.77284,0.229340885465104,0.373443877614547
2.9,0.300158,0.565522,0.768173,0.24673619821861,0.369863017247681
3,0.288218,0.577812,0.763586,0.263811152503352,0.366607084395912
3.1,0.276099,0.589529,0.759095,0.280556728196183,0.363685228094395
3.2,0.263815,0.600675,0.754713,0.29696558981203,0.361102661206921
3.3,0.251378,0.611249,0.750456,0.313029351621031,0.358868919273874
3.4,0.2388,0.621254,0.746336,0.328742719935135,0.356988804947451
3.5,0.226092,0.630692,0.742368,0.344100262449124,0.355470422657933
3.6,0.213266,0.639565,0.738562,0.359095912464495,0.354317160203353
3.7,0.200332,0.647875,0.734932,0.373724872069312,0.353536642493812
3.8,0.1873,0.655627,0.731486,0.387984662383,0.353130346697064
3.9,0.174178,0.662822,0.728237,0.401870981269741,0.353106121904903
